locality_a,locality_b,transit_time_mins
gb--london-kent-outer-south-east,gb--london-surrey-outer-south-west,55.0
gb--essex-thurrock,gb--london-surrey-outer-south-west,99.0
gb--london-essex-outer-east,gb--london-surrey-outer-south-west,90.0
gb--kent-medway-maidstone,gb--london-inner-north-west,81.0
gb--london-inner-north-west,gb--surrey-west-surrey,91.0
gb--london-inner-north-east,gb--london-inner-north-west,24.0
gb--london-inner-north-west,gb--london-inner-south,36.0
gb--london-hertfordshire-outer-north,gb--london-inner-north-west,18.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-north-west,28.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-north-west,81.0
gb--london-central-london,gb--london-inner-north-west,26.0
gb--london-inner-north,gb--london-inner-north-west,18.0
gb--london-inner-north-west,gb--london-surrey-outer-south,65.0
gb--kent-north-west-kent,gb--london-inner-north-west,76.0
gb--london-essex-outer-north-east,gb--london-inner-north-west,40.0
gb--london-inner-east,gb--london-inner-north-west,35.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-north-west,86.0
gb--london-inner-north-west,gb--london-inner-south-west,30.0
gb--london-inner-north-west,gb--surrey-west-sussex-east-surrey,83.0
gb--kent-south-west-kent,gb--london-inner-north-west,83.0
gb--essex-chelmsford,gb--london-inner-north-west,65.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-north-west,81.0
gb--berkshire-reading,gb--london-inner-north-west,74.0
gb--london-inner-north-west,gb--london-kent-outer-south-east,59.0
gb--essex-thurrock,gb--london-inner-north-west,71.0
gb--london-essex-outer-east,gb--london-inner-north-west,52.0
gb--kent-medway-maidstone,gb--surrey-west-surrey,120.0
gb--kent-medway-maidstone,gb--london-inner-north-east,81.0
gb--kent-medway-maidstone,gb--london-inner-south,73.0
gb--kent-medway-maidstone,gb--london-hertfordshire-outer-north,90.0
gb--kent-medway-maidstone,gb--london-hertfordshire-buckinghamshire-outer-north-west,100.0
gb--berkshire-windsor-slough-maidenhead,gb--kent-medway-maidstone,110.0
gb--kent-medway-maidstone,gb--london-central-london,55.0
gb--kent-medway-maidstone,gb--london-inner-north,75.0
gb--kent-medway-maidstone,gb--london-surrey-outer-south,105.0
gb--kent-medway-maidstone,gb--kent-north-west-kent,105.0
gb--kent-medway-maidstone,gb--london-essex-outer-north-east,90.0
gb--kent-medway-maidstone,gb--london-inner-east,79.0
gb--buckinghamshire-south-buckinghamshire,gb--kent-medway-maidstone,115.0
gb--kent-medway-maidstone,gb--london-inner-south-west,81.0
gb--kent-medway-maidstone,gb--surrey-west-sussex-east-surrey,112.0
gb--kent-medway-maidstone,gb--kent-south-west-kent,112.0
gb--essex-chelmsford,gb--kent-medway-maidstone,94.0
gb--hertfordshire-essex-east-hertfordshire,gb--kent-medway-maidstone,110.0
gb--berkshire-reading,gb--kent-medway-maidstone,103.0
gb--kent-medway-maidstone,gb--london-kent-outer-south-east,95.0
gb--essex-thurrock,gb--kent-medway-maidstone,100.0
gb--kent-medway-maidstone,gb--london-essex-outer-east,95.0
gb--london-inner-north-east,gb--surrey-west-surrey,91.0
gb--london-inner-south,gb--surrey-west-surrey,83.0
gb--london-hertfordshire-outer-north,gb--surrey-west-surrey,100.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--surrey-west-surrey,110.0
gb--berkshire-windsor-slough-maidenhead,gb--surrey-west-surrey,120.0
gb--london-central-london,gb--surrey-west-surrey,65.0
gb--london-inner-north,gb--surrey-west-surrey,85.0
gb--london-surrey-outer-south,gb--surrey-west-surrey,115.0
gb--kent-north-west-kent,gb--surrey-west-surrey,115.0
gb--london-essex-outer-north-east,gb--surrey-west-surrey,100.0
gb--london-inner-east,gb--surrey-west-surrey,89.0
gb--buckinghamshire-south-buckinghamshire,gb--surrey-west-surrey,125.0
gb--london-inner-south-west,gb--surrey-west-surrey,91.0
gb--surrey-west-surrey,gb--surrey-west-sussex-east-surrey,122.0
gb--kent-south-west-kent,gb--surrey-west-surrey,122.0
gb--essex-chelmsford,gb--surrey-west-surrey,104.0
gb--hertfordshire-essex-east-hertfordshire,gb--surrey-west-surrey,120.0
gb--berkshire-reading,gb--surrey-west-surrey,113.0
gb--london-kent-outer-south-east,gb--surrey-west-surrey,105.0
gb--essex-thurrock,gb--surrey-west-surrey,110.0
gb--london-essex-outer-east,gb--surrey-west-surrey,105.0
gb--london-inner-north-east,gb--london-inner-south,31.0
gb--london-hertfordshire-outer-north,gb--london-inner-north-east,20.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-north-east,52.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-north-east,81.0
gb--london-central-london,gb--london-inner-north-east,26.0
gb--london-inner-north,gb--london-inner-north-east,18.0
gb--london-inner-north-east,gb--london-surrey-outer-south,66.0
gb--kent-north-west-kent,gb--london-inner-north-east,76.0
gb--london-essex-outer-north-east,gb--london-inner-north-east,16.0
gb--london-inner-east,gb--london-inner-north-east,18.0
