locality_a,locality_b,transit_time_mins
gb--kent-south-west-kent,gb--london-inner-west,72.0
gb--london-inner-west,gb--surrey-west-sussex-east-surrey,62.0
gb--essex-thurrock,gb--london-inner-west,60.0
gb--london-hertfordshire-outer-north,gb--london-inner-west,40.0
gb--london-inner-west,gb--surrey-west-surrey,50.0
gb--london-inner-north-west,gb--london-inner-west,22.0
gb--essex-southend,gb--london-inner-west,80.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-west,62.0
gb--buckinghamshire-milton-keynes,gb--london-inner-west,74.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-west,26.0
gb--london-inner-east,gb--london-inner-west,39.0
gb--essex-chelmsford,gb--london-surrey-outer-south-west,93.0
gb--berkshire-windsor-slough-maidenhead,gb--essex-chelmsford,94.0
gb--essex-chelmsford,gb--london-hertfordshire-buckinghamshire-outer-north-west,84.0
gb--essex-chelmsford,gb--kent-medway-maidstone,65.0
gb--essex-chelmsford,gb--kent-ashford,100.0
gb--cambridgeshire-huntingdonshire,gb--essex-chelmsford,100.0
gb--essex-chelmsford,gb--london-inner-south,57.0
gb--essex-chelmsford,gb--london-central-london,39.0
gb--essex-chelmsford,gb--london-kent-outer-south-east,58.0
gb--essex-chelmsford,gb--london-essex-outer-north-east,35.0
gb--essex-chelmsford,gb--london-inner-south-west,65.0
gb--essex-chelmsford,gb--essex-colchester,27.0
gb--essex-chelmsford,gb--kent-south-west-kent,82.0
gb--essex-chelmsford,gb--surrey-west-sussex-east-surrey,96.0
gb--essex-chelmsford,gb--essex-thurrock,30.0
gb--essex-chelmsford,gb--london-hertfordshire-outer-north,61.0
gb--essex-chelmsford,gb--surrey-west-surrey,104.0
gb--essex-chelmsford,gb--london-inner-north-west,65.0
gb--essex-chelmsford,gb--essex-southend,35.0
gb--essex-chelmsford,gb--hertfordshire-essex-east-hertfordshire,45.0
gb--buckinghamshire-milton-keynes,gb--essex-chelmsford,98.0
gb--essex-chelmsford,gb--london-buckinghamshire-berkshire-outer-west,80.0
gb--essex-chelmsford,gb--london-inner-east,35.0
gb--berkshire-windsor-slough-maidenhead,gb--london-surrey-outer-south-west,45.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-surrey-outer-south-west,50.0
gb--kent-medway-maidstone,gb--london-surrey-outer-south-west,85.0
gb--kent-ashford,gb--london-surrey-outer-south-west,116.0
gb--cambridgeshire-huntingdonshire,gb--london-surrey-outer-south-west,121.0
gb--london-inner-south,gb--london-surrey-outer-south-west,45.0
gb--london-central-london,gb--london-surrey-outer-south-west,54.0
gb--london-kent-outer-south-east,gb--london-surrey-outer-south-west,55.0
gb--london-essex-outer-north-east,gb--london-surrey-outer-south-west,88.0
gb--london-inner-south-west,gb--london-surrey-outer-south-west,28.0
gb--essex-colchester,gb--london-surrey-outer-south-west,117.0
gb--kent-south-west-kent,gb--london-surrey-outer-south-west,70.0
gb--london-surrey-outer-south-west,gb--surrey-west-sussex-east-surrey,40.0
gb--essex-thurrock,gb--london-surrey-outer-south-west,83.0
gb--london-hertfordshire-outer-north,gb--london-surrey-outer-south-west,76.0
gb--london-surrey-outer-south-west,gb--surrey-west-surrey,30.0
gb--london-inner-north-west,gb--london-surrey-outer-south-west,58.0
gb--essex-southend,gb--london-surrey-outer-south-west,118.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-surrey-outer-south-west,95.0
gb--buckinghamshire-milton-keynes,gb--london-surrey-outer-south-west,105.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-surrey-outer-south-west,35.0
gb--london-inner-east,gb--london-surrey-outer-south-west,73.0
gb--berkshire-windsor-slough-maidenhead,gb--london-hertfordshire-buckinghamshire-outer-north-west,35.0
gb--berkshire-windsor-slough-maidenhead,gb--kent-medway-maidstone,110.0
gb--berkshire-windsor-slough-maidenhead,gb--kent-ashford,117.0
gb--berkshire-windsor-slough-maidenhead,gb--cambridgeshire-huntingdonshire,105.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-south,63.0
gb--berkshire-windsor-slough-maidenhead,gb--london-central-london,55.0
gb--berkshire-windsor-slough-maidenhead,gb--london-kent-outer-south-east,95.0
gb--berkshire-windsor-slough-maidenhead,gb--london-essex-outer-north-east,85.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-south-west,45.0
gb--berkshire-windsor-slough-maidenhead,gb--essex-colchester,118.0
gb--berkshire-windsor-slough-maidenhead,gb--kent-south-west-kent,102.0
gb--berkshire-windsor-slough-maidenhead,gb--surrey-west-sussex-east-surrey,85.0
gb--berkshire-windsor-slough-maidenhead,gb--essex-thurrock,100.0
gb--berkshire-windsor-slough-maidenhead,gb--london-hertfordshire-outer-north,63.0
gb--berkshire-windsor-slough-maidenhead,gb--surrey-west-surrey,50.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-north-west,45.0
